model,seed,parameters,final_epoch,selected_epoch,final_seen_joint_acc,selected_seen_joint_acc,final_heldout_joint_acc,selected_heldout_joint_acc,final_heldout_class_acc,selected_heldout_class_acc,final_heldout_attr_acc,selected_heldout_attr_acc,final_seen_proto_mse,selected_seen_proto_mse,final_heldout_proto_mse,selected_heldout_proto_mse,final_seen_visual_nn_joint,selected_seen_visual_nn_joint,final_heldout_visual_nn_joint,selected_heldout_visual_nn_joint
x2,18001,131320,16,16,1.0,1.0,0.30000001192092896,0.30000001192092896,0.5,0.5,0.699999988079071,0.699999988079071,0.007516950368881226,0.007516950368881226,0.022060928866267204,0.022060928866267204,0.7666667103767395,0.7666667103767395,0.20000000298023224,0.20000000298023224
mlp,18001,130735,16,13,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,1.0,1.0,0.0075263832695782185,0.008600425906479359,0.01714744046330452,0.01873016729950905,0.7666667103767395,0.8333333730697632,0.4000000059604645,0.4000000059604645
gru,18001,131215,16,16,1.0,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,1.0,0.008208421058952808,0.008208421058952808,0.017791226506233215,0.017791226506233215,0.7333333492279053,0.7333333492279053,0.4000000059604645,0.4000000059604645
x2,18002,131320,16,16,1.0,1.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.9000000357627869,0.9000000357627869,0.0076284585520625114,0.0076284585520625114,0.03197043761610985,0.03197043761610985,0.7333333492279053,0.7333333492279053,0.10000000149011612,0.10000000149011612
mlp,18002,130735,16,14,1.0,1.0,0.9000000357627869,0.699999988079071,0.9000000357627869,0.699999988079071,1.0,1.0,0.007690586149692535,0.00799989141523838,0.018080560490489006,0.01646777056157589,0.7333333492279053,0.7666667103767395,0.4000000059604645,0.30000001192092896
gru,18002,131215,16,11,1.0,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,1.0,0.007466728333383799,0.009513494558632374,0.018960272893309593,0.018103711307048798,0.7333333492279053,0.7666667103767395,0.4000000059604645,0.5
x2,18003,131320,16,16,1.0,1.0,0.20000000298023224,0.20000000298023224,0.30000001192092896,0.30000001192092896,0.9000000357627869,0.9000000357627869,0.00769479013979435,0.00769479013979435,0.02854393795132637,0.02854393795132637,0.7666667103767395,0.7666667103767395,0.20000000298023224,0.20000000298023224
mlp,18003,130735,16,16,1.0,1.0,0.9000000357627869,0.9000000357627869,0.9000000357627869,0.9000000357627869,1.0,1.0,0.007339245639741421,0.007339245639741421,0.017247147858142853,0.017247147858142853,0.8000000715255737,0.8000000715255737,0.4000000059604645,0.4000000059604645
gru,18003,131215,16,13,1.0,1.0,0.699999988079071,0.6000000238418579,0.699999988079071,0.6000000238418579,1.0,1.0,0.0077631534077227116,0.008801117539405823,0.017063213512301445,0.01582527719438076,0.7333333492279053,0.7666667103767395,0.5,0.5
x2,18004,131320,16,16,1.0,1.0,0.4000000059604645,0.4000000059604645,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.007984007708728313,0.007984007708728313,0.02971535734832287,0.02971535734832287,0.7666667103767395,0.7666667103767395,0.30000001192092896,0.30000001192092896
mlp,18004,130735,16,16,1.0,1.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,1.0,1.0,0.007392332889139652,0.007392332889139652,0.017709745094180107,0.017709745094180107,0.7666667103767395,0.7666667103767395,0.5,0.5
gru,18004,131215,16,15,1.0,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,1.0,0.007922807708382607,0.008239377290010452,0.018392028287053108,0.01704004965722561,0.7333333492279053,0.7666667103767395,0.5,0.5
x2,18005,131320,16,16,1.0,1.0,0.4000000059604645,0.4000000059604645,0.5,0.5,0.9000000357627869,0.9000000357627869,0.007561628241091967,0.007561628241091967,0.02121003530919552,0.02121003530919552,0.8000000715255737,0.8000000715255737,0.0,0.0
mlp,18005,130735,16,16,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,1.0,1.0,0.007476593367755413,0.007476593367755413,0.015299441292881966,0.015299441292881966,0.8000000715255737,0.8000000715255737,0.5,0.5
gru,18005,131215,16,16,1.0,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,1.0,0.008092058822512627,0.008092058822512627,0.01814974844455719,0.01814974844455719,0.8333333730697632,0.8333333730697632,0.4000000059604645,0.4000000059604645
